cluster	avg_seq_len	MainBody_length	avg_GC_cont	avg_ATcont_after3p	sum_all_reads	num_gap_bars	scale_rate_5p	num_mismatches_8mer	num_mism_in_MB	len_after_MB	gap_droppin_len	gcs	ats	cpg	cwf	ce	cz	cm2	cm3	ct2	ct3	cl2	cl3	ident2rev_compl_clust	hits_on_mature_miR	bracket-mirna-fraction	hairpin-size-estimate	loop-mirna-distance-estimate	loop-size-estimate	loops-in-hairpin	minimum-free-energy	mirna-bracket-discrepancy	mirna-bracket-majority	mirna-unmatched
0	27.0	24	0.276098901099	0.0	6	2	2	0	0	4	0	0.111111111111	0.333333333333	0.45	2.27116799882	0.91071040051	0.566037735849	0.819888028861	0.673191445317	0.6875	0.466517857143	0.75	0.708333333333	72	NO	0.566666666666667	82	2	6	2	-22.30	1	17	13
1	20.7916666667	16	0.605622468388	0.21528	48	15	15	0	1	9	4	0.333333333333	0.142857142857	0.375	1.89804369091	0.946203559296	0.422222222222	0.722765278018	0.56840287546	0.5	0.352941176471	0.6	0.648648648649	76	NO	0.473684210526316	23	0	4	1	-21.50	0.692307692307692	9	6
2	25.1666666667	18	0.255508824509	0.444446666667	6	7	7	0	0	8	0	0.5	0.333333333333	0.666666666667	2.25313407783	0.869262422261	0.508771929825	0.834701092311	0.71374737689	0.8125	0.631944444444	0.85	0.808510638298	68	NO	0.448275862068966	65	15	5	1	 -4.20	1	13	16
3	27.1666666667	25	0.280158730159	0.0	6	3	3	0	0	4	4	0.333333333333	0.5	0.5	2.24970181322	0.869030809373	0.527272727273	0.813358596547	0.693715818262	0.75	0.555555555556	0.8	0.765957446809	69	NO	0.241379310344828	51	0	3	2	-17.80	0.7	7	19
4	23.0	16	0.409106719611	0.0	20	12	12	4	1	2	0	0.272727272727	0.0666666666667	0.392857142857	2.14609082361	0.979008918517	0.472727272727	0.910768547357	0.703362586911	0.875	0.729166666667	0.9	0.863636363636	70	NO	0.576923076923077	77	9	7	1	-12.40	1	15	11
5	26.6106382979	28	0.387142594943	0.00496666666667	470	1	1	0	0	3	1	0.454545454545	0.176470588235	0.458333333333	2.21235164821	0.946076516289	0.528301886792	0.875070922014	0.701644520317	0.8125	0.625	0.85	0.804347826087	68	NO	0.607142857142857	59	0	12	1	-22.10	1	17	11
6	21.4362745098	11	0.327015756133	0.519606666667	204	11	11	0	0	20	13	0.142857142857	0.466666666667	0.583333333333	2.02416139752	0.893155915974	0.44	0.779568790193	0.620321349148	0.625	0.4375	0.7	0.7	69	NO	0.363636363636364	23	0	6	1	-12.80	0.615384615384615	8	9
7	23.8189189189	19	0.32320164932	0.226123333333	370	8	8	0	0	13	6	0.428571428571	0.0588235294118	0.7	2.09473431085	0.914586136039	0.452830188679	0.844319532747	0.692065212938	0.75	0.647727272727	0.8	0.833333333333	65	YES	0.291666666666667	31	0	10	1	 -7.50	0.875	7	16
8	22.8593805625	21	0.521935766328	0.00486666666667	2809	7	7	0	1	8	1	0.0769230769231	0.4	0.309523809524	2.04907152486	0.966832469	0.425925925926	0.884577648904	0.70030687205	0.8125	0.735119047619	0.85	0.878048780488	70	NO	0.347826086956522	25	0	7	1	 -9.40	0.727272727272727	8	12
9	17.4082278481	17	0.41769705582	0.15401	316	1	1	0	0	11	1	0.0	0.111111111111	0.5	1.7989688296	0.99638905373	0.36170212766	0.831954882779	0.606703988157	0.6875	0.595833333333	0.75	0.8	70	NO	0.529411764705882	24	0	4	1	-26.80	0.818181818181818	9	6
10	20.4012096774	19	0.345980220906	0.00101	992	11	11	0	0	3	1	0.333333333333	0.0769230769231	0.75	1.90311329823	0.935509560439	0.387755102041	0.809774479497	0.642028120601	0.6875	0.606617647059	0.75	0.810810810811	70	NO	0.368421052631579	18	0	3	1	-11.80	0.538461538461538	7	6
11	22.6234096692	18	0.531660525887	0.0	393	10	10	0	0	1	1	0.0909090909091	0.2	0.366666666667	1.9701622091	0.990701795125	0.428571428571	0.755482023722	0.620268620662	0.5625	0.414473684211	0.65	0.692307692308	71	NO	0.428571428571429	51	11	5	1	-21.20	0.642857142857143	9	7
